avg_rating,count_ratings,num_pages,date_published,top_genre
"<span itemprop=""ratingValue"">
  3.74
</span>","<meta content=""34723"" itemprop=""ratingCount""/>",388 pages,"
            Published
        January 15th 2019
         by Wednesday Books

      ",Fantasy
"<span itemprop=""ratingValue"">
  4.28
</span>","<meta content=""43923"" itemprop=""ratingCount""/>",470 pages,"
            Published
        June 10th 2021
         by Usborne 

            ",Young Adult
"<span itemprop=""ratingValue"">
  3.98
</span>","<meta content=""83364"" itemprop=""ratingCount""/>",326 pages,"
            Published
        November 15th 2016
         by Lavabrook Publishing Group

      ",Fantasy
"<span itemprop=""ratingValue"">
  4.46
</span>","<meta content=""438083"" itemprop=""ratingCount""/>",565 pages,"
            Published
        September 2nd 2014
         by Bloomsbury USA Childrens

      ",Fantasy
"<span itemprop=""ratingValue"">
  4.36
</span>","<meta content=""516403"" itemprop=""ratingCount""/>",420 pages,"
            Published
        August 27th 2013
         by Bloomsbury USA Childrens

            ",Fantasy
"<span itemprop=""ratingValue"">
  4.07
</span>","<meta content=""28138"" itemprop=""ratingCount""/>",464 pages,"
            Published
        July 20th 2021
         by HMH

      ",Fantasy
"<span itemprop=""ratingValue"">
  4.13
</span>","<meta content=""78309"" itemprop=""ratingCount""/>",533 pages,"
            Published
        November 14th 2017
         by Harper Voyager

      ",Fantasy
"<span itemprop=""ratingValue"">
  3.83
</span>","<meta content=""409538"" itemprop=""ratingCount""/>",310 pages,"
            Published
        December 31st 2019
         by G.P. Putnam's Sons

      ",Fiction
"<span itemprop=""ratingValue"">
  4.08
</span>","<meta content=""55510"" itemprop=""ratingCount""/>",357 pages,"
            Published
        September 1st 2020
         by Wednesday Books

      ",Fantasy
"<span itemprop=""ratingValue"">
  4.13
</span>","<meta content=""813189"" itemprop=""ratingCount""/>",400 pages,"
            Published
        2012
         by Feiwel & Friends

      ",Fantasy
"<span itemprop=""ratingValue"">
  4.29
</span>","<meta content=""157432"" itemprop=""ratingCount""/>",537 pages,"
            Published
        February 28th 2016
        

      ",Romance
"<span itemprop=""ratingValue"">
  3.88
</span>","<meta content=""46618"" itemprop=""ratingCount""/>",355 pages,"
            Published
        January 9th 2020
        

      ",Romance
"<span itemprop=""ratingValue"">
  3.85
</span>","<meta content=""70902"" itemprop=""ratingCount""/>",335 pages,"
            Published
        May 22nd 2014
         by K.B. Ritchie

            ",Romance
"<span itemprop=""ratingValue"">
  4.01
</span>","<meta content=""39893"" itemprop=""ratingCount""/>",342 pages,"
            Published
        August 27th 2015
         by Silver Wing Press

      ",Fantasy
"<span itemprop=""ratingValue"">
  4.15
</span>","<meta content=""55190"" itemprop=""ratingCount""/>",410 pages,"
            Published
        December 10th 2020
        

      ",Romance
"<span itemprop=""ratingValue"">
  3.53
</span>","<meta content=""22197"" itemprop=""ratingCount""/>",382 pages,"
            Published
        August 10th 2021
        

      ",Romance
"<span itemprop=""ratingValue"">
  3.56
</span>","<meta content=""22638"" itemprop=""ratingCount""/>",230 pages,"
            Published
        May 28th 2019
         by Trinkets and Tales LLC

      ",Romance
"<span itemprop=""ratingValue"">
  3.77
</span>","<meta content=""51933"" itemprop=""ratingCount""/>",317 pages,"
            Published
        November 6th 2020
         by Silver Wing Press

      ",Fantasy
"<span itemprop=""ratingValue"">
  3.92
</span>","<meta content=""39074"" itemprop=""ratingCount""/>",340 pages,"
            Published
        September 7th 2021
        

            ",Romance
"<span itemprop=""ratingValue"">
  4.14
</span>","<meta content=""21716"" itemprop=""ratingCount""/>",551 pages,"
            Published
        August 12th 2021
        

      ",Dark
"<span itemprop=""ratingValue"">
  3.85
</span>","<meta content=""153986"" itemprop=""ratingCount""/>",498 pages,"
            Published
        November 5th 2019
         by Doubleday Books

      ",Fantasy
"<span itemprop=""ratingValue"">
  4.33
</span>","<meta content=""214376"" itemprop=""ratingCount""/>",435 pages,"
            Published
        November 22nd 2016
         by Simon Schuster Books for Young Readers

      ",Young Adult
"<span itemprop=""ratingValue"">
  4.13
</span>","<meta content=""64272"" itemprop=""ratingCount""/>",416 pages,"
            Published
        August 30th 2016
         by Delacorte Press

      ",Young Adult
"<span itemprop=""ratingValue"">
  4.40
</span>","<meta content=""90068"" itemprop=""ratingCount""/>",592 pages,"
            Published
        March 30th 2021
         by Orion Children's Books

      ",Fantasy
"<span itemprop=""ratingValue"">
  3.86
</span>","<meta content=""126689"" itemprop=""ratingCount""/>",373 pages,"
            Published
        November 5th 2019
         by Avon

      ",Romance
"<span itemprop=""ratingValue"">
  4.55
</span>","<meta content=""316726"" itemprop=""ratingCount""/>",689 pages,"
            Published
        September 6th 2016
         by Bloomsbury Children's Books

      ",Fantasy
"<span itemprop=""ratingValue"">
  4.55
</span>","<meta content=""380638"" itemprop=""ratingCount""/>",648 pages,"
            Published
        September 1st 2015
         by Bloomsbury USA Childrens

      ",Fantasy
"<span itemprop=""ratingValue"">
  3.97
</span>","<meta content=""49627"" itemprop=""ratingCount""/>",340 pages,"
            Published
        April 24th 2018
         by Wednesday Books

      ",Fantasy
"<span itemprop=""ratingValue"">
  3.96
</span>","<meta content=""113690"" itemprop=""ratingCount""/>",492 pages,"
            Published
        July 8th 2014
         by Henry Holt

      ",Fantasy
"<span itemprop=""ratingValue"">
  3.70
</span>","<meta content=""19346"" itemprop=""ratingCount""/>",480 pages,"
            Published
        March 3rd 2020
         by Katherine Tegen Books

      ",Fantasy
"<span itemprop=""ratingValue"">
  4.05
</span>","<meta content=""325764"" itemprop=""ratingCount""/>",409 pages,"
            Published
        September 18th 2012
         by Scholastic Press

      ",Fantasy
"<span itemprop=""ratingValue"">
  4.61
</span>","<meta content=""237743"" itemprop=""ratingCount""/>",984 pages,"
            Published
        October 23rd 2018
         by Bloomsbury YA

      ",Fantasy
"<span itemprop=""ratingValue"">
  4.12
</span>","<meta content=""50904"" itemprop=""ratingCount""/>",454 pages,"
            Published
        July 29th 2021
        

      ",Romance
"<span itemprop=""ratingValue"">
  3.83
</span>","<meta content=""32995"" itemprop=""ratingCount""/>",304 pages,"
            Published
        November 9th 2021
         by Wednesday Books

      ",Romance
"<span itemprop=""ratingValue"">
  3.79
</span>","<meta content=""11821"" itemprop=""ratingCount""/>",563 pages,"
            Published
        January 20th 2020
         by Amazon Digital Services

      ",Fantasy
"<span itemprop=""ratingValue"">
  3.78
</span>","<meta content=""48195"" itemprop=""ratingCount""/>",354 pages,"
            Published
        June 29th 2015
        

            ",Romance
"<span itemprop=""ratingValue"">
  3.57
</span>","<meta content=""71961"" itemprop=""ratingCount""/>",536 pages,"
            Published
        September 1st 2020
         by HarperTeen

      ",Fantasy
"<span itemprop=""ratingValue"">
  4.23
</span>","<meta content=""110945"" itemprop=""ratingCount""/>",451 pages,"
            Published
        May 29th 2018
         by Flatiron Books

      ",Fantasy
"<span itemprop=""ratingValue"">
  4.54
</span>","<meta content=""166"" itemprop=""ratingCount""/>",None,"
//<![CDATA[
      var newTip = new Tip($('edition_60902284'), ""<div class=\'editionTitle\'>\nSpy Dust | Mafia Romance &amp; Spy Thriller (Hardcover) \n<\/div>\n<div class=\'editionInfo\'>\n<\/div>\n<div class=\'editionInfo\'>\n<\/div>\n<div class=\'editionInfo\'>\n<\/div>\n<div class=\'editionInfo\'>\nformat: Hardcover\n<\/div>\n<div class=\'editionInfo\'>\nPublished\nNovember 15th 2022\nby \n<\/div>\n<div class=\'enlargeCover\' id=\'edition_60902284_enlarge\'>\n<a>\nEnlarge cover\n<\/a>\n<\/div>\n<div class=\'editionCover\' id=\'edition_60902284_enlarge_cover\' style=\'display: none;\'>\n<img src=\""https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1651239751l/60902284._SY475_.jpg\"" alt=\""60902284. sy475 \"" />\n<\/div>\n<div class=\'editionAction\'>\n<div class=\'wtrButtonContainer\' id=\'2_book_60902284\'>\n<div class=\'wtrUp wtrLeft\'>\n<form action=\""/shelf/add_to_shelf\"" accept-charset=\""UTF-8\"" method=\""post\""><input name=\""utf8\"" type=\""hidden\"" value=\""&#x2713;\"" /><input type=\""hidden\"" name=\""authenticity_token\"" value=\""n9jaOCDWRCc7dNFf5UVEmU2/liUT067yiYFxkbQbOuGu9BKPHIFTmmoH2Xj/7iJsTQOlHWtAFC/XEPBG9RhK4Q==\"" />\n<input type=\""hidden\"" name=\""book_id\"" id=\""book_id\"" value=\""60902284\"" />\n<input type=\""hidden\"" name=\""name\"" id=\""name\"" value=\""to-read\"" />\n<input type=\""hidden\"" name=\""unique_id\"" id=\""unique_id\"" value=\""2_book_60902284\"" />\n<input type=\""hidden\"" name=\""wtr_new\"" id=\""wtr_new\"" value=\""true\"" />\n<input type=\""hidden\"" name=\""from_choice\"" id=\""from_choice\"" value=\""false\"" />\n<input type=\""hidden\"" name=\""from_home_module\"" id=\""from_home_module\"" value=\""false\"" />\n<input type=\""hidden\"" name=\""ref\"" id=\""ref\"" value=\""\"" class=\""wtrLeftUpRef\"" />\n<input type=\""hidden\"" name=\""existing_review\"" id=\""existing_review\"" value=\""false\"" class=\""wtrExisting\"" />\n<input type=\""hidden\"" name=\""page_url\"" id=\""page_url\"" />\n<button class=\'wtrToRead\' type=\'submit\'>\n<span class=\'progressTrigger\'>Want to Read<\/span>\n<span class=\'progressIndicator\'>saving…<\/span>\n<\/button>\n<\/form>\n\n<\/div>\n\n<div class=\'wtrRight wtrUp\'>\n<form class=\""hiddenShelfForm\"" action=\""/shelf/add_to_shelf\"" accept-charset=\""UTF-8\"" method=\""post\""><input name=\""utf8\"" type=\""hidden\"" value=\""&#x2713;\"" /><input type=\""hidden\"" name=\""authenticity_token\"" value=\""000wdqc97ig+hhHwa4HUN3F2TFLW6y2haxdkGKryr+biYfjBm2r5lW/1GddxKrLCccp/aq54l3w1huXP6/Hf5g==\"" />\n<input type=\""hidden\"" name=\""unique_id\"" id=\""unique_id\"" value=\""2_book_60902284\"" />\n<input type=\""hidden\"" name=\""book_id\"" id=\""book_id\"" value=\""60902284\"" />\n<input type=\""hidden\"" name=\""a\"" id=\""a\"" />\n<input type=\""hidden\"" name=\""name\"" id=\""name\"" />\n<input type=\""hidden\"" name=\""from_choice\"" id=\""from_choice\"" value=\""false\"" />\n<input type=\""hidden\"" name=\""from_home_module\"" id=\""from_home_module\"" value=\""false\"" />\n<input type=\""hidden\"" name=\""page_url\"" id=\""page_url\"" />\n<\/form>\n\n<button class=\'wtrShelfButton\'><\/button>\n<\/div>\n\n<div class=\'ratingStars wtrRating\'>\n<div class=\'starsErrorTooltip hidden\'>\nError rating book. Refresh and try again.\n<\/div>\n<div class=\'myRating uitext greyText\'>Rate this book<\/div>\n<div class=\'clearRating uitext\'>Clear rating<\/div>\n<div class=\""stars\"" data-resource-id=\""60902284\"" data-user-id=\""106793763\"" data-submit-url=\""/review/rate/60902284?stars_click=true&wtr_button_id=2_book_60902284\"" data-rating=\""0\""><a class=\""star off\"" title=\""did not like it\"" href=\""#\"" ref=\""\"">1 of 5 stars<\/a><a class=\""star off\"" title=\""it was ok\"" href=\""#\"" ref=\""\"">2 of 5 stars<\/a><a class=\""star off\"" title=\""liked it\"" href=\""#\"" ref=\""\"">3 of 5 stars<\/a><a class=\""star off\"" title=\""really liked it\"" href=\""#\"" ref=\""\"">4 of 5 stars<\/a><a class=\""star off\"" title=\""it was amazing\"" href=\""#\"" ref=\""\"">5 of 5 stars<\/a><\/div>\n<\/div>\n\n<\/div>\n\n<\/div>\n\n"", { style: 'addbook', stem: 'bottomMiddle', hook: { tip: 'bottomMiddle', target: 'topMiddle' }, offset: { y: -3, x: 0 }, hideOn: false, width: 325, hideAfter: 0.05 });
      $('edition_60902284').observe('prototip:shown', function() {
        if (this.up('#box')) {
          $$('div.prototip').each(function(i){i.setStyle({zIndex: $('box').getStyle('z-index')})});
        } else {
          $$('div.prototip').each(function(i){i.setStyle({zIndex: 6000})});
        }
      });

      newTip['wrapper'].addClassName('prototipAllowOverflow');

        $('edition_60902284').observe('prototip:shown', function () {
          $$('div.prototip').each(function (e) {
            if ($('edition_60902284').hasClassName('ignored')) {
              e.setStyle({'display': 'none'});
              return;
            }
            e.setStyle({'overflow': 'visible'});
          });
        });
      $('edition_60902284').observe('prototip:hidden', function () {
        $$('span.elementTwo').each(function (e) {
          if (e.getStyle('display') !== 'none') {
            var lessLink = e.next();
            swapContent(lessLink);
          }
        });
      });

//]]>
",Thriller
"<span itemprop=""ratingValue"">
  4.26
</span>","<meta content=""59614"" itemprop=""ratingCount""/>",448 pages,"
            Published
        October 26th 2021
         by Hodder & Stoughton

            ",Fantasy
"<span itemprop=""ratingValue"">
  3.97
</span>","<meta content=""25102"" itemprop=""ratingCount""/>",387 pages,"
            Published
        October 25th 2016
         by Createspace Independent Publishing Platform

      ",Romance
"<span itemprop=""ratingValue"">
  4.22
</span>","<meta content=""34558"" itemprop=""ratingCount""/>",394 pages,"
            Published
        September 21st 2021
         by Penguin Teen

      ",Fantasy
"<span itemprop=""ratingValue"">
  4.10
</span>","<meta content=""198640"" itemprop=""ratingCount""/>",544 pages,"
            Published
        March 6th 2018
         by Henry Holt Company

      ",Fantasy
"<span itemprop=""ratingValue"">
  3.70
</span>","<meta content=""25870"" itemprop=""ratingCount""/>",336 pages,"
            Published
        July 7th 2020
         by Flatiron Books

      ",Fantasy
"<span itemprop=""ratingValue"">
  3.68
</span>","<meta content=""59895"" itemprop=""ratingCount""/>",325 pages,"
            Published
        September 15th 2020
         by Berkley

      ",Romance
"<span itemprop=""ratingValue"">
  3.82
</span>","<meta content=""288023"" itemprop=""ratingCount""/>",255 pages,"
            Published
        March 10th 2020
         by Atria Books

      ",Romance
"<span itemprop=""ratingValue"">
  4.22
</span>","<meta content=""167299"" itemprop=""ratingCount""/>",361 pages,"
            Published
        January 11th 2016
         by Elle Kennedy

      ",Romance
"<span itemprop=""ratingValue"">
  3.93
</span>","<meta content=""58272"" itemprop=""ratingCount""/>",403 pages,"
            Published
        August 6th 2019
         by Delacorte

      ",Fantasy
"<span itemprop=""ratingValue"">
  3.88
</span>","<meta content=""22331"" itemprop=""ratingCount""/>",350 pages,"
            Published
        October 20th 2021
        

      ",Romance
"<span itemprop=""ratingValue"">
  4.07
</span>","<meta content=""192649"" itemprop=""ratingCount""/>",296 pages,"
            Published
        May 6th 2015
         by Createspace Independent Publishing Platform

      ",Romance
"<span itemprop=""ratingValue"">
  4.25
</span>","<meta content=""90552"" itemprop=""ratingCount""/>",368 pages,"
            Published
        September 7th 2021
         by Penguin

      ",Mystery
"<span itemprop=""ratingValue"">
  4.28
</span>","<meta content=""222755"" itemprop=""ratingCount""/>",660 pages,"
            Published
        September 5th 2017
         by Bloomsbury USA Childrens

      ",Fantasy
"<span itemprop=""ratingValue"">
  3.93
</span>","<meta content=""45464"" itemprop=""ratingCount""/>",376 pages,"
            Published
        July 15th 2020
        

      ",Romance
"<span itemprop=""ratingValue"">
  3.69
</span>","<meta content=""63938"" itemprop=""ratingCount""/>",188 pages,"
            Published
        April 3rd 2015
         by Ruby Dixon

      ",Romance
"<span itemprop=""ratingValue"">
  3.49
</span>","<meta content=""65088"" itemprop=""ratingCount""/>",357 pages,"
            Published
        July 9th 2019
         by Delacorte Press

      ",Horror
"<span itemprop=""ratingValue"">
  4.18
</span>","<meta content=""14239"" itemprop=""ratingCount""/>",423 pages,"
            Published
        October 20th 2020
        

      ",Fantasy
"<span itemprop=""ratingValue"">
  4.07
</span>","<meta content=""18258"" itemprop=""ratingCount""/>",459 pages,"
            Published
        April 10th 2021
        

      ",Romance
"<span itemprop=""ratingValue"">
  4.23
</span>","<meta content=""200986"" itemprop=""ratingCount""/>",363 pages,"
            Published
        December 10th 2019
         by Montlake Romance

      ",Romance
"<span itemprop=""ratingValue"">
  4.19
</span>","<meta content=""571740"" itemprop=""ratingCount""/>",343 pages,"
            Published
        June 2nd 2020
         by Riverhead Books

      ",Fiction
"<span itemprop=""ratingValue"">
  3.41
</span>","<meta content=""38865"" itemprop=""ratingCount""/>",133 pages,"
            Published
        April 12th 2021
        

            ",Romance
"<span itemprop=""ratingValue"">
  4.43
</span>","<meta content=""226756"" itemprop=""ratingCount""/>",421 pages,"
            Published
        February 4th 2014
         by HarperCollins 

      ",Science Fiction
"<span itemprop=""ratingValue"">
  4.14
</span>","<meta content=""357103"" itemprop=""ratingCount""/>",248 pages,"
            Published
        September 21st 2017
         by Atlantic Books

            ",Romance
"<span itemprop=""ratingValue"">
  3.83
</span>","<meta content=""48054"" itemprop=""ratingCount""/>",417 pages,"
            Published
        April 22nd 2020
         by Scarlett  St. Clair

      ",Fantasy
"<span itemprop=""ratingValue"">
  4.43
</span>","<meta content=""119302"" itemprop=""ratingCount""/>",377 pages,"
            Published
        May 3rd 2022
         by Berkley

      ",Romance
"<span itemprop=""ratingValue"">
  4.11
</span>","<meta content=""80119"" itemprop=""ratingCount""/>",385 pages,"
            Published
        March 1st 2022
         by Avon Books

      ",Romance
"<span itemprop=""ratingValue"">
  3.94
</span>","<meta content=""26886"" itemprop=""ratingCount""/>",416 pages,"
            Published
        July 20th 2021
         by Tor Books

      ",Fantasy
"<span itemprop=""ratingValue"">
  3.69
</span>","<meta content=""93317"" itemprop=""ratingCount""/>",288 pages,"
            Published
        January 5th 2016
         by Sourcebooks Fire

      ",Young Adult
"<span itemprop=""ratingValue"">
  4.31
</span>","<meta content=""766612"" itemprop=""ratingCount""/>",479 pages,"
            Published
        August 31st 2010
         by Margaret K. McElderry Books

      ",Fantasy
"<span itemprop=""ratingValue"">
  4.24
</span>","<meta content=""94964"" itemprop=""ratingCount""/>",200 pages,"
            Published
        November 24th 2020
         by Little, Brown Books for Young Readers

      ",Fantasy
"<span itemprop=""ratingValue"">
  4.20
</span>","<meta content=""35608"" itemprop=""ratingCount""/>",364 pages,"
            Published
        July 28th 2020
         by Simon Pulse

            ",Romance
"<span itemprop=""ratingValue"">
  3.92
</span>","<meta content=""96202"" itemprop=""ratingCount""/>",377 pages,"
            Published
        August 6th 2018
         by Elle Kennedy Inc.

            ",Romance
"<span itemprop=""ratingValue"">
  3.99
</span>","<meta content=""421003"" itemprop=""ratingCount""/>",372 pages,"
            Published
        December 2nd 2010
         by Dutton Juvenile

      ",Romance
"<span itemprop=""ratingValue"">
  3.62
</span>","<meta content=""194172"" itemprop=""ratingCount""/>",356 pages,"
            Published
        September 7th 2021
         by Farrar, Straus and Giroux

      ",Fiction
"<span itemprop=""ratingValue"">
  3.77
</span>","<meta content=""57747"" itemprop=""ratingCount""/>",306 pages,"
            Published
        August 17th 2021
        

      ",Romance
"<span itemprop=""ratingValue"">
  3.74
</span>","<meta content=""182373"" itemprop=""ratingCount""/>",289 pages,"
            Published
        June 25th 2019
         by Penguin Books

            ",Fiction
"<span itemprop=""ratingValue"">
  4.35
</span>","<meta content=""138925"" itemprop=""ratingCount""/>",345 pages,"
            Published
        November 1st 2016
         by Forever

            ",Romance
"<span itemprop=""ratingValue"">
  3.67
</span>","<meta content=""17776"" itemprop=""ratingCount""/>",576 pages,"
            Published
        May 4th 2021
         by Orion Publishing

      ",Fantasy
"<span itemprop=""ratingValue"">
  4.20
</span>","<meta content=""85036"" itemprop=""ratingCount""/>",478 pages,"
            Published
        May 7th 2019
         by Flatiron Books

      ",Fantasy
"<span itemprop=""ratingValue"">
  3.76
</span>","<meta content=""29651"" itemprop=""ratingCount""/>",241 pages,"
            Published
        February 23rd 2021
         by Park Row Books

      ",Romance
"<span itemprop=""ratingValue"">
  4.00
</span>","<meta content=""97122"" itemprop=""ratingCount""/>",416 pages,"
            Published
        January 16th 2018
         by HarperCollins

      ",Mystery
"<span itemprop=""ratingValue"">
  4.31
</span>","<meta content=""52433"" itemprop=""ratingCount""/>",132 pages,"
            Published
        December 1st 2016
         by S.T. Abby

      ",Romance
"<span itemprop=""ratingValue"">
  3.65
</span>","<meta content=""68356"" itemprop=""ratingCount""/>",300 pages,"
            Published
        September 26th 2017
         by Margaret K. McElderry Books

      ",Fantasy
"<span itemprop=""ratingValue"">
  3.99
</span>","<meta content=""14356"" itemprop=""ratingCount""/>",466 pages,"
            Published
        June 2nd 2020
         by Balzer + Bray

      ",Fantasy
"<span itemprop=""ratingValue"">
  4.39
</span>","<meta content=""18343"" itemprop=""ratingCount""/>",368 pages,"
            Published
        August 18th 2020
         by Amulet Books

      ",Fantasy
"<span itemprop=""ratingValue"">
  4.05
</span>","<meta content=""172559"" itemprop=""ratingCount""/>",246 pages,"
            Published
        June 4th 2019
         by Penguin Press

      ",Fiction
"<span itemprop=""ratingValue"">
  3.70
</span>","<meta content=""22725"" itemprop=""ratingCount""/>",380 pages,"
            Published
        February 4th 2020
         by Imprint

      ",Fantasy
"<span itemprop=""ratingValue"">
  3.85
</span>","<meta content=""29787"" itemprop=""ratingCount""/>",368 pages,"
            Published
        November 30th 2021
         by Bloom Books

      ",Fantasy
"<span itemprop=""ratingValue"">
  4.46
</span>","<meta content=""29959"" itemprop=""ratingCount""/>",494 pages,"
            Published
        November 16th 2021
         by Hodder & Stoughton

      ",Fantasy
"<span itemprop=""ratingValue"">
  4.19
</span>","<meta content=""270128"" itemprop=""ratingCount""/>",461 pages,"
            Published
        February 5th 2013
         by HarperCollins 

      ",Science Fiction
"<span itemprop=""ratingValue"">
  4.34
</span>","<meta content=""234553"" itemprop=""ratingCount""/>",448 pages,"
            Published
        March 4th 2014
         by Bloomsbury Childrens

      ",Fantasy
